Community#,Status,Name,Total Homes,31/12/2008,30/6/2009,31/12/2009,30/6/2010,31/12/2010,30/6/2011,31/12/2011,30/6/2012,31/12/2012,30/6/2013,31/12/2013,30/6/2014,31/12/2014,30/6/2015,31/12/2015,30/6/2016,31/12/2016,30/6/2017,31/12/2017,30/6/2018,31/12/2018,30/6/2019,31/12/2019,30/6/2020,31/12/2020,30/6/2021,31/12/2021,30/6/2022,31/12/2022,30/6/2023,31/12/2023
1,COMPLETED,Brookfield,228,12,10,3,48,11,11,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COMPLETED,Seasons (Tarneit),136,12,21,19,14,22,22,15,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,COMPLETED,Warragul,182,0,24,15,8,18,18,12,5,15,12,12,20,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,COMPLETED - 50% Working Interest,Casey Fields (Cranbourne),217,0,0,0,0,0,19,35,35,21,25,18,20,27,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COMPLETED,Shepparton,300,0,0,0,0,0,0,0,7,13,12,16,12,15,23,27,24,28,22,20,28,16,9,14,6,6,2,0,0,0,0,0
6,COMPLETED - 50% Working Interest,Chelsea Heights,186,0,0,0,0,0,0,0,0,4,28,41,24,6,56,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,COMPLETED,Hastings,141,0,0,0,0,0,0,0,0,0,0,19,26,40,42,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,COMPLETED,Lyndarum,154,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,18,25,43,35,5,0,0,0,0,0,0,0,0,0,0,0
9,COMPLETED,Geelong,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,21,29,22,35,16,5,0,0,0,0,0,0,0,0,0
10,COMPLETED,Officer,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,54,44,22,4,0,0,0,0,0,0,0,0,0,0,0
11,COMPLETED,Berwick Waters,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,51,74,55,17,3,4,0,0,0,0,0,0,0
12,COMPLETED,Bittern,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,72,80,23,9,0,0,0,0,0,0,0
13,COMPLETED,Ocean Grove,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,62,55,25,9,1,0,0,0,0
14,COMPLETED,Mount Duneed,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,22,33,27,45,7,0,0
15,COMPLETED,Kadunda Park,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,57,42,15,2,0,0
16,UNDER CONSTRUCTION,Wollert (North),246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,24,45,24,36,29
17,UNDER CONSTRUCTION,Deanside,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,35,16,30,19
18,UNDER CONSTRUCTION,St Leonards - The Waves,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43,66,48,31,2
19,UNDER CONSTRUCTION,St Leonards - The Shores,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,UNDER CONSTRUCTION,Meridian,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,40,92,35
21,UNDER CONSTRUCTION,Woodlea,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
22,UNDER CONSTRUCTION,Phillip Island,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,UNDER CONSTRUCTION,Bellarine,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,23
24,UNDER CONSTRUCTION,Riverfield (Clyde),230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
25,UNDER CONSTRUCTION,Ridgelea (Pakenham),174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,UNDER CONSTRUCTION,Merrifeld,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NEW AWAITING COMMENCEMENT (as at 31-Dec-23),Ocean Grove II,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NEW AWAITING COMMENCEMENT (as at 31-Dec-23),Warragul II,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NEW AWAITING COMMENCEMENT (as at 31-Dec-23),Clifton Springs,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
